brand,model,type,year,transmisi, avg_2nd_price , new_price ,residu,depresiasi_residu,estimasi_1,depresiasi,estimasi_2,estimasi_3,avg_estimasi,estimator,correction,output
Toyota,Kijang Innova,G,2020,Automatic,200000000,355050000,35545090.48,31950490.95,195297545.2,35505000,177525000,186358644,186393729.7,195918118.9,195595801.8,195918118.9
Nissan,Livina,VL,2022,Automatic,189000000,308800000,30914868.16,27788513.18,225434460.4,30880000,216160000,200102400,213898953.5,196469686,184838032.7,184838032.7
Honda,Brio,Satya E,2022,Automatic,140000000,189700000,18991419.98,17070858,138487426,18970000,132790000,122925600,131401008.7,137420302.6,136917061.3,137420302.6
Honda,HR-V,Prestige,2015,Automatic,185000000,355000000,35540084.84,31945991.52,99432067.87,35500000,71000000,110027418.9,93486495.58,157545948.7,180926116.7,157545948.7
Hyundai,Creta,Prime,2022,Automatic,220000000,399000000,39945053.1,35905494.69,291283515.9,39900000,279300000,258552000,276378505.3,236913551.6,215155382,215155382
Mazda,CX-5,Elite,2022,Automatic,329000000,597700000,59837489.32,53786251.07,436341246.8,59770000,418390000,387309600,414013615.6,354504084.7,321755094,321755094
Honda,HR-V,Turbo RS,2022,Automatic,332000000,513900000,51448027.04,46245197.3,375164408.1,51390000,359730000,333007200,355967202.7,339190160.8,324689031,324689031
Hyundai,IONIQ 5,Signature Long Range,2023,Automatic,429000000,859000000,85996994.02,77300300.6,704399398.8,85900000,687200000,618480000,670026466.3,501307939.9,419552994.9,419552994.9
Honda,HR-V,E,2015,Automatic,158000000,294000000,29433197.02,26456680.3,82346557.62,29400000,58800000,91121299.01,77422618.88,133826785.7,154520683.4,133826785.7
Honda,CR-V,Turbo Prestige,2018,Automatic,268000000,516000000,51658264.16,46434173.58,190960784.9,51600000,154800000,219378844.8,188379876.6,244113963,262098374.4,244113963
Toyota,Fortuner,VRZ 4X2,2016,Automatic,200000000,494000000,49455780.03,44454422,138364624,49400000,98800000,170120641.4,135761755.1,180728526.5,195595801.8,180728526.5
