brand,variant,year,otr,low_price,residu,depresiasi_1,estimasi_1,depresiasi_2,estimasi_2,estimasi_3,avg_estimasi,estimator,correction,output
Harley Davidson,Softail Breakout,2020,799000000,650000000,79990219,71900978,439495110,79900000,399500000,419379120,419458077,580837423,635686356,580837423
Harley Davidson,Softail Breakout,2022,976600000,650000000,97770273,87882973,712951082,97660000,683620000,632836800,676469294,657940788,635686356,635686356
Harley Davidson,Softail Slim,2014,557000000,499000000,55762894,50123711,556999992,55700000,556999992,155371113,423123699,476237110,488011525,476237110
Harley Davidson,Softail Heritage,2011,435000000,435000000,43549118,39145088,434999992,43500000,434999992,88456931,319485638,400345691,425420869,400345691
Harley Davidson,Softail Breakout,2014,618000000,535000000,61869781,55613022,617999992,61800000,617999992,172386621,469462202,515338660,523218770,515338660
Harley Davidson,Touring StreetGlide,2014,757000000,625000000,75785477,68121452,756999992,75700000,756999992,211159663,575053216,610015965,611236881,610015965
Harley Davidson,Touring FATBOB,2020,789000000,589000000,78989090,71001091,433994545,78900000,394500000,414130320,414208288,536562486,576029636,536562486
Harley Davidson,Street Street 500,2015,219000000,181900000,21924728,19707527,218999992,21900000,218999992,67876070,168625351,177917605,177894382,177917605
Harley Davidson,Street 750,2017,233000000,265000000,23326309,20967369,65261047,23300000,46600000,89154542,67005197,205601559,259164437,205601559
Harley Davidson,Sportster CB1200,2014,425000000,340000000,42547989,38245201,424999992,42500000,424999992,118550670,322850218,334855065,332512863,334855065
Harley Davidson,Sportster 48,2020,620000000,475000000,62070007,55792999,341035004,62000000,310000000,325425600,325486868,430146060,464540029,430146060
Harley Davidson,Sportster IRON,2020,599000000,360000000,59967636,53903236,329483818,59900000,299500000,314403120,314462313,346338694,352072443,346338694
Harley Davidson,Touring Ultra Limited,2011,495000000,459000000,49555893,44544411,494999992,49500000,494999992,100657887,363552624,430365787,448892365,430365787
Viar,Karya 200,2025,34930000,27500000,3496944,3143306,34930000,3493000,34930000,27944000,32601333,29030400,26894423,26894423
Viar,Karya 300,2019,38000000,21500000,3804291,3419571,17482574,3800000,15200000,17950896,16877823,20113347,21026549,20113347
Viar,150,2016,23000000,2700000,2302597,2069740,22999992,2300000,22999992,7920597,17973527,7282058,2640543,2640543
Ducati,Diavel Facelift,2015,504900000,278000000,50547011,45435299,504899992,50490000,504899992,156486884,388762289,311228687,271878165,271878165
Ducati,Multistrada 1200S,2016,748000000,338000000,74884460,67311554,747999992,74800000,747999992,257591578,584530521,411959156,330556905,330556905
Ducati,Panigale 1199,2013,475000000,378000000,47553635,42744637,474999992,47500000,474999992,119248027,356416004,371524801,369676065,371524801
Ducati,Diavel Base,2012,390000000,258000000,39044037,35095596,389999992,39000000,389999992,88118015,289372666,267411800,252318584,252318584
Triumph,Bobber Bonneville 1200,2017,435000000,382900000,43549118,39145088,121839294,43500000,87000000,166447321,125095539,305558662,374468163,305558662
Ducati,Monster 821,2019,440000000,355000000,44049683,39595032,202429810,44000000,176000000,207852480,195427430,307128229,347182548,307128229
Viar,VixR EV 1,2025,55500000,8000000,5556267,4994373,55500000,5550000,55500000,44400000,51800000,21140000,7823832,7823832
BMW,R1200 GS,2017,768000000,649000000,76886719,69111328,215109375,76800000,153600000,293865615,220858330,520557499,634708377,520557499
Ducati,Scrambler 800,2017,359000000,275000000,35940536,32305946,100552429,35900000,71800000,137366870,103239766,223471930,268944227,223471930
Ducati,Scrambler 400,2017,279000000,184900000,27931503,25106850,78145203,27900000,55800000,106755868,80233690,153500107,180828319,153500107
Viar,Karya 200,2024,34130000,24500000,3416854,3071315,31058685,3413000,30717000,27304000,29693228,26057969,23960486,23960486
Ducati,Panigale 1199,2012,400000000,345000000,40045166,35995483,399999992,40000000,399999992,90377452,296792479,330537744,337402758,330537744
Ducati,Monster 696,2011,250000000,155000000,25028229,22497177,249999992,25000000,249999992,50837317,183612434,163583730,151586746,151586746
Ducati,Monster 797,2017,389000000,279000000,38943924,35005608,108955139,38900000,77800000,148845995,111867045,228860113,272856144,228860113
Triumph,Bobber Bonneville 1200,2021,520000000,415000000,52058716,46794128,332823486,52000000,312000000,303264000,316029162,385308749,405861289,385308749
BMW,S 1000 R,2015,468000000,380000000,46852844,42114716,467999992,46800000,467999992,145050231,360350072,374105022,371632023,374105022
Triumph,Daytona 675,2017,425000000,285000000,42547989,38245201,119038391,42500000,85000000,162620946,122219779,236165934,278724018,236165934
Ducati,Street Fighter 848,2012,335000000,185000000,33537827,30146217,334999992,33500000,334999992,75691116,248563700,204069110,180926117,180926117
Triumph,Bobber Bonneville 1200,2018,443000000,415000000,44350021,39864998,163945015,44300000,132900000,188342690,161729235,339018771,405861289,339018771
Ducati,Monster 1100,2014,418000000,239000000,41847198,37615280,417999992,41800000,417999992,116598070,317532685,262559805,233736983,233736983
Ducati,Scrambler 400,2016,199000000,179900000,19922470,17907753,198999992,19900000,198999992,68530380,155510121,172583036,175938424,172583036
Ducati,Hypermotard 1100,2012,320000000,189000000,32036133,28796387,319999992,32000000,319999992,72301961,237433982,203530195,184838033,184838033
Ducati,Monster 795,2012,225000000,155000000,22525406,20247459,224999992,22500000,224999992,50837317,166945767,158583730,151586746,151586746
Triumph,Tiger 800,2018,475000000,359000000,47553635,42744637,175787544,47500000,142500000,201947580,173411708,303323512,351094464,303323512
Viar,VixR EV 1,2024,53500000,7800000,5356041,4814396,48685604,5350000,48150000,42800000,46545201,19423560,7628236,7628236
Ducati,Panigale V4,2018,799000000,460000000,79990219,71900978,295693153,79900000,239700000,339697087,291696747,409509024,449870344,409509024
BMW,G 310 GS,2017,125000000,91500000,12514114,11248589,35011292,12500000,25000000,47829690,35946994,74834098,89485079,74834098
BMW,G 310 ABS,2017,108000000,91500000,10812195,9718781,30249756,10800000,21600000,41324852,31058203,73367461,89485079,73367461
Ducati,Hyperstrada 812,2015,410000000,255000000,41046295,36895370,409999992,41000000,409999992,127073920,315691301,273207390,249384647,249384647
BMW,G 310 GS,2018,129000000,120000000,12914566,11608543,47740196,12900000,38700000,54844711,47094969,98128491,117357481,98128491
BMW,R1200 GS,2015,695000000,525000000,69578476,62542152,694999992,69500000,694999992,215405792,535135259,528040578,513438980,513438980
Triumph,Tiger XR,2015,325000000,305000000,32536697,29246330,324999992,32500000,324999992,100729327,250243104,288572931,298283598,288572931
Benelli,Motobi 200 Efi,2022,30000000,20500000,3003387,2699661,21901016,3000000,21000000,19440000,20780339,20584102,20048570,20048570
Benelli,Patagonian Eagle PE 250 Injection,2021,48700000,32000000,4875499,4382450,31170200,4870000,29220000,28401840,29597347,31279204,31295328,31279204
KTM,Duke 250,2017,44000000,16500000,4404968,3959503,12323975,4400000,8800000,16836051,12653342,15346003,16136654,15346003
Benelli,Motobi 200 EVO,2022,32800000,28500000,3283704,2951630,23945111,3280000,22960000,21254400,22719837,26765951,27872402,26765951
Benelli,Patagonian Eagle PE 250 Injection,2022,48700000,38800000,4875499,4382450,35552650,4870000,34090000,31557600,33733417,37280025,37945586,37280025
Benelli,Motobi 200 EVO,2021,32200000,25800000,3223636,2897636,20609454,3220000,19320000,18779040,19569498,23930849,25231858,23930849
Benelli,Motobi 200 Efi,2023,30800000,27000000,3083478,2771652,25256696,3080000,24640000,22176000,24024232,26107270,26405433,26107270
Benelli,Patagonian Eagle PE 250 Injection,2023,49900000,38750000,4995634,4490437,40919127,4990000,39920000,35928000,38922376,38801713,37896687,37896687
KTM,Duke 250 ABS,2018,48000000,34800000,4805420,4319458,17763794,4800000,14400000,20407334,17523709,29617113,34033670,29617113
KTM,390 Adventure ,2021,119000000,94000000,11913437,10708656,76165375,11900000,71400000,69400800,72322058,87496617,91930027,87496617
Benelli,Patagonian Eagle PE 250,2024,49900000,65000000,4995634,4490437,45409563,4990000,44910000,39920000,43413188,58523956,63568636,58523956
KTM,Duke 200,2019,38000000,17800000,3804291,3419571,17482574,3800000,15200000,17950896,16877823,17523347,17408026,17523347
KTM,Duke 390 ABS,2021,115000000,80500000,11512985,10348701,73605194,11500000,69000000,67068000,69891065,77317319,78727310,77317319
KTM,Duke ABS,2017,49000000,35500000,4905533,4409447,13724426,4900000,9800000,18749238,14091222,29077366,34718255,29077366
Benelli,TNT 249S,2019,58600000,36400000,5866617,5273338,26959970,5860000,23440000,27682171,26027380,33288214,35598436,33288214
KTM,RC ,2017,37000000,16900000,3704178,3329582,10363342,3700000,7400000,14157588,10640310,15022093,16527845,15022093
KTM,Duke ABS,2022,65000000,37800000,6507339,5849266,47452202,6500000,45500000,42120000,45024067,39967220,36967607,36967607
Benelli,Motobi 200 EVO,2023,33800000,27500000,3383817,3041618,27716763,3380000,27040000,24336000,26364254,27159276,26894423,27159276
KTM,Duke 250 ABS,2019,51900000,36000000,5195860,4670414,23877516,5190000,20760000,24517145,23051554,32115466,35207244,32115466
KTM,Duke 250 ABS,2017,49000000,25000000,4905533,4409447,13724426,4900000,9800000,18749238,14091222,21727366,24449475,21727366
Benelli,BN 700,2024,210000000,65750000,21023712,18897629,191102371,21000000,189000000,168000000,182700790,100835237,64302120,64302120
KTM,RC 200,2017,37000000,16900000,3704178,3329582,10363342,3700000,7400000,14157588,10640310,15022093,16527845,15022093
Benelli,Patagonian Eagle PE 250,2021,38900000,32000000,3894392,3500561,24897757,3890000,23340000,22686480,23641412,29492424,31295328,29492424
Benelli,Patagonian Eagle PE 250,2020,38900000,33900000,3894392,3500561,21397196,3890000,19450000,20417832,20421676,29856503,33153488,29856503
Benelli,Patagonian Eagle KEEWAY V250,2025,62000000,65900000,6207001,5579300,62000000,6200000,62000000,49600000,57866667,63490000,64448817,63490000
Benelli,Patagonian Eagle PE 250,2023,39900000,38900000,3994505,3590549,32718901,3990000,31920000,28728000,31122300,36566690,38043383,36566690
Benelli,Motobi 200 EVO,2019,30800000,23000000,3083478,2771652,14170087,3080000,12320000,14549674,13679920,20203976,22493517,20203976
KTM,Duke 390,2019,108500000,79900000,10862251,9763775,49917351,10850000,43400000,51254532,48190628,70387188,78140523,70387188
KTM,390 Adventure ,2020,119000000,105000000,11913437,10708656,65456718,11900000,59500000,62460720,62472479,92241744,102687796,92241744
Benelli,Motobi 200 EVO,2018,30800000,22900000,3083478,2771652,11398434,3080000,9240000,13094706,11244380,19403314,22395719,19403314
Benelli,Patagonian Eagle KEEWAY V250,2023,58800000,35000000,5886639,5291336,48217328,5880000,47040000,42336000,45864443,38259333,34229265,34229265
Benelli,Patagonian Eagle PE 250,2022,39900000,36000000,3994505,3590549,29128352,3990000,27930000,25855200,27637851,33491355,35207244,33491355
Benelli,Patagonian Eagle KEEWAY V250,2021,56600000,36000000,5666391,5093361,36226556,5660000,33960000,33009120,34398559,35519568,35207244,35519568
Kawasaki,D-Tracker 150,2019,32900000,21500000,3293715,2960629,15136229,3290000,13160000,15541697,14612642,19433793,21026549,21004874.35
Honda,BeATStreet ,2023,18700000,13000000,1872112,1682789,15334422,1870000,14960000,13464000,14586141,13475842,12713727,12713727
Honda,BeATStreet ,2024,19300000,10900000,1932179,1736782,17563218,1930000,17370000,15440000,16791073,12667322,10659971,10659971
Yamaha,Gear 125 S,2021,17350000,10500000,1736959,1561304,11104784,1735000,10410000,10118520,10544435,10513330,10268780,10268780
Honda,BeAT CBS,2024,18430000,11000000,1845081,1658492,16771508,1843000,16587000,14744000,16034169,12510251,10757769,10757769
Yamaha,MioM3 ,2019,15750000,7500000,1576778,1417322,7246067,1575000,6300000,7440174,6995414,7348624,7334843,7348624
